t,x_x(t) [cube 2],x_y(t) [cube 2],x_z(t) [cube 2],F(t) [cube 2]
5.919995,16.35863,-88.49361,-6.267722E-06,41.73474
5.939995,16.40111,-89.33115,-6.297197E-06,41.93069
5.959995,16.4436,-90.17262,-6.326673E-06,42.12664
5.979995,16.48609,-91.018,-6.356148E-06,42.32259
5.999995,16.52858,-91.86731,-6.385623E-06,42.51855
6.019995,16.57107,-92.72054,-6.415099E-06,42.7145
6.039995,16.61355,-93.5777,-6.444574E-06,42.91047
6.059995,16.65604,-94.43878,-6.474049E-06,43.10643
6.079995,16.69853,-95.30379,-6.503525E-06,43.30239
6.099995,16.74102,-96.17271,-6.533E-06,43.49836
6.119995,16.78351,-97.04557,-6.562475E-06,43.69432
6.139995,16.82599,-97.92235,-6.591951E-06,43.8903
6.159995,16.86848,-98.80305,-6.621426E-06,44.08627
6.179995,16.91097,-99.68768,-6.650901E-06,44.28224
6.199995,16.95346,-100.5762,-6.680377E-06,44.47822
6.219995,16.99595,-101.4687,-6.709852E-06,44.6742
6.239995,17.03843,-102.3651,-6.739328E-06,44.87018
6.259995,17.08092,-103.2654,-6.768803E-06,45.06616
6.279995,17.12341,-104.1697,-6.798278E-06,45.26214
6.299995,17.1659,-105.0778,-6.827754E-06,45.45813
6.319995,17.20839,-105.9899,-6.857229E-06,45.65412
6.339995,17.25088,-106.9059,-6.886704E-06,45.85011
6.359995,17.29336,-107.8259,-6.91618E-06,46.0461
6.379995,17.33585,-108.7498,-6.945655E-06,46.24209
6.399995,17.37834,-109.6775,-6.97513E-06,46.43809
6.419995,17.42083,-110.6093,-7.004606E-06,46.63408
6.439995,17.46332,-111.5449,-7.034081E-06,46.83008
6.459995,17.5058,-112.4845,-7.063556E-06,47.02608
6.479995,17.54829,-113.4279,-7.093032E-06,47.22208
6.499995,17.59078,-114.3754,-7.122507E-06,47.41809
6.519995,17.63327,-115.3267,-7.151983E-06,47.61409
6.539995,17.67576,-116.282,-7.181458E-06,47.8101
6.559995,17.71824,-117.2411,-7.210933E-06,48.00611
6.579995,17.76073,-118.2042,-7.240409E-06,48.20212
6.599995,17.80322,-119.1713,-7.269884E-06,48.39813
6.619995,17.84571,-120.1422,-7.299359E-06,48.59414
6.639995,17.8882,-121.1171,-7.328835E-06,48.79016
6.659995,17.93069,-122.0959,-7.35831E-06,48.98617
6.679995,17.97317,-123.0786,-7.387785E-06,49.18219
6.699995,18.01566,-124.0653,-7.417261E-06,49.37821
6.719995,18.05815,-125.0558,-7.446736E-06,49.57423
6.739995,18.10064,-126.0503,-7.476212E-06,49.77025
6.759995,18.14313,-127.0488,-7.505687E-06,49.96627
6.779994,18.18561,-128.0511,-7.535162E-06,50.1623
6.799994,18.2281,-129.0574,-7.564638E-06,50.35833
6.819994,18.27059,-130.0676,-7.594113E-06,50.55435
6.839994,18.31308,-131.0817,-7.623588E-06,50.75038
6.859994,18.35557,-132.0997,-7.653063E-06,50.94641
6.879994,18.39805,-133.1217,-7.682538E-06,51.14244
6.899994,18.44054,-134.1476,-7.712013E-06,51.33847
6.919994,18.48303,-135.1774,-7.741488E-06,51.53451
6.939994,18.52552,-136.2112,-7.770963E-06,51.73055
6.959994,18.56801,-137.2488,-7.800438E-06,51.92658
6.979994,18.61049,-138.2904,-7.829913E-06,52.12262
6.999994,18.65298,-139.3359,-7.859388E-06,52.31866
7.019994,18.69547,-140.3853,-7.888862E-06,52.5147
7.039994,18.73796,-141.4387,-7.918337E-06,52.71074
7.059994,18.78045,-142.496,-7.947812E-06,52.90678
7.079994,18.82294,-143.5572,-7.977287E-06,53.10283
7.099994,18.86542,-144.6223,-8.006762E-06,53.29887
7.119994,18.90791,-145.6914,-8.036237E-06,53.49492
7.139994,18.9504,-146.7644,-8.065712E-06,53.69096
7.159994,18.99289,-147.8413,-8.095187E-06,53.88701
7.179994,19.03538,-148.9221,-8.124662E-06,54.08306
7.199994,19.07786,-150.0068,-8.154137E-06,54.27911
7.219994,19.12035,-151.0955,-8.183611E-06,54.47516
7.239994,19.16284,-152.1881,-8.213086E-06,54.67122
7.259994,19.20533,-153.2846,-8.242561E-06,54.86727
7.279994,19.24782,-154.3851,-8.272036E-06,55.06332
7.299994,19.2903,-155.4895,-8.301511E-06,55.25938
7.319994,19.33279,-156.5977,-8.330986E-06,55.45544
7.339994,19.37528,-157.71,-8.360461E-06,55.65149
7.359994,19.41777,-158.8261,-8.389936E-06,55.84755
7.379994,19.46026,-159.9462,-8.419411E-06,56.04361
7.399994,19.50274,-161.0702,-8.448886E-06,56.23967
7.419994,19.54523,-162.1981,-8.478361E-06,56.43573
7.439994,19.58772,-163.3299,-8.507835E-06,56.6318
7.459994,19.63021,-164.4657,-8.53731E-06,56.82786
7.479994,19.6727,-165.6054,-8.566785E-06,57.02393
7.499994,19.71519,-166.749,-8.59626E-06,57.21999
7.519994,19.75767,-167.8965,-8.625735E-06,57.41606
7.539994,19.80016,-169.048,-8.65521E-06,57.61213
7.559994,19.84265,-170.2034,-8.684685E-06,57.80819
7.579994,19.88514,-171.3627,-8.71416E-06,58.00426
7.599994,19.92763,-172.5259,-8.743635E-06,58.20033
7.619994,19.97011,-173.6931,-8.77311E-06,58.3964
7.639994,20.0126,-174.8642,-8.802584E-06,58.59248
7.659994,20.05509,-176.0392,-8.832059E-06,58.78855
7.679994,20.09758,-177.2181,-8.861534E-06,58.98462
7.699994,20.14007,-178.4009,-8.891009E-06,59.1807
7.719994,20.18255,-179.5877,-8.920484E-06,59.37677
7.739994,20.22504,-180.7784,-8.949959E-06,59.57285
7.759994,20.26753,-181.973,-8.979434E-06,59.76892
7.779994,20.31002,-183.1716,-9.008909E-06,59.965
7.799994,20.35251,-184.374,-9.038384E-06,60.16108
7.819993,20.39499,-185.5804,-9.067859E-06,60.35716
7.839993,20.43748,-186.7907,-9.097334E-06,60.55324
7.859993,20.47997,-188.005,-9.126808E-06,60.74932
7.879993,20.52246,-189.2232,-9.156283E-06,60.9454
7.899993,20.56495,-190.4453,-9.185758E-06,61.14149
7.919993,20.60744,-191.6713,-9.215233E-06,61.33757
7.939993,20.64992,-192.9012,-9.244708E-06,61.53365
7.959993,20.69241,-194.1351,-9.274183E-06,61.72974
7.979993,20.7349,-195.3728,-9.303658E-06,61.92582
7.999993,20.77739,-196.6146,-9.333133E-06,62.12191
8.019994,20.81988,-197.8602,-9.362608E-06,62.318
8.039994,20.86236,-199.1098,-9.392083E-06,62.51408
8.059995,20.90485,-200.3632,-9.421557E-06,62.71017
8.079995,20.94734,-201.6206,-9.451032E-06,62.90626
8.099996,20.98983,-202.882,-9.480507E-06,63.10235
8.119996,21.03232,-204.1472,-9.509982E-06,63.29844
8.139997,21.0748,-205.4164,-9.539457E-06,63.49453
8.159997,21.11729,-206.6895,-9.568932E-06,63.69062
8.179997,21.15978,-207.9665,-9.598407E-06,63.88672
8.199998,21.20227,-209.2475,-9.627882E-06,64.08281
8.219998,21.24476,-210.5324,-9.657357E-06,64.2789
8.239999,21.28724,-211.8212,-9.686832E-06,64.47499
8.259999,21.32973,-213.1139,-9.716307E-06,64.67108
8.28,21.37222,-214.4105,-9.745781E-06,64.86717
8.3,21.41471,-215.7111,-9.775256E-06,65.06326
8.320001,21.4572,-217.0156,-9.804731E-06,65.25935
8.340001,21.49969,-218.324,-9.834206E-06,65.45545
8.360002,21.54217,-219.6364,-9.863681E-06,65.65154
8.380002,21.58466,-220.9526,-9.893156E-06,65.84764
8.400002,21.62715,-222.2728,-9.922631E-06,66.04374
8.420003,21.66964,-223.5969,-9.952106E-06,66.23983
8.440003,21.71213,-224.925,-9.981581E-06,66.43593
8.460004,21.75461,-226.2569,-1.001106E-05,66.63203
8.480004,21.7971,-227.5928,-1.004053E-05,66.82813
8.500005,21.83959,-228.9326,-1.007001E-05,67.02422
8.520005,21.88208,-230.2764,-1.009948E-05,67.22032
8.540006,21.92457,-231.624,-1.012896E-05,67.41642
8.560006,21.96705,-232.9756,-1.015843E-05,67.61253
8.580007,22.00954,-234.3311,-1.01879E-05,67.80862
8.600007,22.05203,-235.6906,-1.021738E-05,68.00472
8.620008,22.09452,-237.0539,-1.024685E-05,68.20083
8.640008,22.13701,-238.4212,-1.027633E-05,68.39693
8.660008,22.17949,-239.7924,-1.03058E-05,68.59303
8.680009,22.22198,-241.1675,-1.033528E-05,68.78914
8.700009,22.26447,-242.5466,-1.036475E-05,68.98524
8.72001,22.30696,-243.9295,-1.039423E-05,69.18134
8.74001,22.34945,-245.3164,-1.04237E-05,69.37745
8.760011,22.39194,-246.7073,-1.045318E-05,69.57355
8.780011,22.43442,-248.102,-1.048265E-05,69.76966
8.800012,22.47691,-249.5007,-1.051213E-05,69.96577
8.820012,22.5194,-250.9033,-1.05416E-05,70.16188
8.840013,22.56189,-252.3098,-1.057108E-05,70.35799
8.860013,22.60438,-253.7202,-1.060055E-05,70.55409
8.880013,22.64686,-255.1346,-1.063003E-05,70.7502
8.900014,22.68935,-256.5529,-1.06595E-05,70.94631
8.920014,22.73184,-257.9751,-1.068898E-05,71.14242
8.940015,22.77433,-259.4012,-1.071845E-05,71.33853
8.960015,22.81682,-260.8313,-1.074793E-05,71.53465
8.980016,22.8593,-262.2653,-1.07774E-05,71.73075
9.000016,22.90179,-263.7032,-1.080688E-05,71.92686
9.020017,22.94428,-265.145,-1.083635E-05,72.12298
9.040017,22.98677,-266.5908,-1.086583E-05,72.31909
9.060018,23.02926,-268.0405,-1.08953E-05,72.51521
9.080018,23.07174,-269.4941,-1.092478E-05,72.71132
9.100019,23.11423,-270.9516,-1.095425E-05,72.90743
9.120019,23.15672,-272.4131,-1.098373E-05,73.10355
9.140019,23.19921,-273.8784,-1.10132E-05,73.29966
9.16002,23.2417,-275.3477,-1.104268E-05,73.49577
9.18002,23.28419,-276.821,-1.107215E-05,73.69189
9.200021,23.32667,-278.2981,-1.110163E-05,73.88801
9.220021,23.36916,-279.7792,-1.11311E-05,74.08412
9.240022,23.41165,-281.2642,-1.116058E-05,74.28024
9.260022,23.45414,-282.7531,-1.119005E-05,74.47636
9.280023,23.49663,-284.2459,-1.121953E-05,74.67248
9.300023,23.53911,-285.7427,-1.1249E-05,74.86859
9.320024,23.5816,-287.2434,-1.127848E-05,75.06471
