t,F(t) [cube 1],x(t) [cube 1]
16.00018,0.09823765,-6.991152
16.02018,0.09726544,-6.991174
16.04018,0.09629324,-6.991195
16.06018,0.09532104,-6.991215
16.08018,0.09434883,-6.991234
16.10018,0.09337663,-6.991252
16.12018,0.09240443,-6.991269
16.14018,0.09143222,-6.991286
16.16018,0.09046002,-6.991302
16.18018,0.08948781,-6.991316
16.20018,0.08851561,-6.99133
16.22018,0.0875434,-6.991343
16.24018,0.08657119,-6.991356
16.26018,0.08559898,-6.991368
16.28018,0.08462678,-6.991379
16.30018,0.08365458,-6.991389
16.32018,0.08268237,-6.991399
16.34018,0.08171017,-6.991408
16.36018,0.08073796,-6.991416
16.38018,0.07976575,-6.991424
16.40018,0.07879355,-6.991431
16.42019,0.07782134,-6.991437
16.44019,0.07684913,-6.991444
